,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,23.08628911,42.5466954,32.94308407,32.74490596,33.19324713,35.34515413,41.76383604,43.7349791,37.87155879,41.23032617,40.60076351,33.99229363,36.36363636,32.46244775,34.24921305,33.30047383
1,23.93452853,50.57503918,40.10807431,35.6661442,39.14282915,42.02259666,45.91040747,52.81413271,43.72515,49.68789766,46.20085728,38.48060345,42.84221526,37.25999216,40.06396089,43.87334635
2,24.1498952,54.43279781,41.92500069,39.52194357,41.02501306,47.23288924,52.60407128,54.49124869,47.07386158,55.503985,49.3747907,41.71074974,47.23092999,38.61840387,41.75909182,45.54950941
3,23.72017935,58.39733542,45.34758293,42.02520899,41.23301985,51.82242685,54.41009883,55.84149687,53.13873938,61.21224298,50.32750653,45.04800157,50.78369906,40.08196186,44.61422544,47.43465889
4,23.61503972,62.15288662,45.02672658,42.54963427,42.17443835,53.59587252,58.0241889,58.87147335,54.60295867,63.95820776,55.19087804,48.59326019,51.09717868,40.29127482,44.93269038,48.68956317
5,23.51125672,63.92339342,47.38333746,44.00764107,42.48301985,54.4311651,59.40762296,59.4984326,57.00728824,64.59111915,55.08304869,49.74072623,50.36572623,41.85606061,46.40881388,48.9038071
6,25.00016958,64.13466562,46.31186962,45.15837252,41.85606061,54.63851881,59.93739104,60.22923197,58.89210912,65.75179157,55.08103945,50.88623302,50.57471264,41.96185998,47.88929074,49.21662954
7,24.151591,64.1353187,46.20571908,45.67985893,41.96185998,55.78533177,60.57670784,60.12310606,57.63753343,66.49186257,54.55260867,51.09456635,51.09717868,43.63571055,48.20675105,48.27257612
8,24.78683787,63.71669279,48.12948306,46.71956635,41.44265935,54.84685214,61.42596474,59.60325235,58.3686573,65.85694193,54.87073873,50.8868861,51.51515152,44.15752351,48.31223629,48.17071167
9,26.27541157,63.30100575,47.38127628,45.78010711,41.54617294,54.74301202,60.47055073,60.53977273,57.00728824,64.90623535,54.97890295,51.30485893,51.61964472,43.32386364,48.10093095,48.1690687
10,24.36254858,62.98752612,48.02298898,45.88329415,41.23301985,55.26351881,60.68286495,60.1217999,57.53369742,65.435001,54.23749247,51.7215256,51.09717868,42.28121735,46.72593932,47.54178085
11,23.72424927,62.98589342,47.38024569,45.46793365,41.6487069,55.68018548,59.19530874,59.18299373,57.74104086,65.64630634,55.29535865,50.04996082,50.99268548,41.54943835,47.14855,48.90347851
12,24.04373809,62.3615465,47.27546926,44.94971264,40.8157001,55.78663793,59.61891971,60.75006531,56.904438,66.49119282,54.97756346,49.52978056,50.67920585,42.0696186,45.45777242,48.27586207
13,23.19312455,62.88237983,46.31255668,44.11703239,42.17051985,54.53892372,59.51242343,60.33045977,54.91906705,65.01138571,55.2946889,49.84293365,50.67920585,40.92280564,45.77489786,47.85756064
14,22.12951846,61.10991379,46.42008135,43.59391327,41.23171369,54.32765152,59.72677262,60.01893939,53.77029896,65.33052039,55.50666399,48.90543365,50.0522466,41.02827847,45.13997723,46.28654798
15,22.55279027,61.107628,45.88417567,44.42822623,41.02142111,54.43377743,59.62129383,59.4967999,54.2924364,64.69392539,54.66177751,47.96760711,49.42528736,40.4003396,44.60886746,47.22764404
16,22.55211195,61.10534222,46.09647676,44.11637931,40.50091432,53.91163793,59.30078753,59.60292581,54.0824642,64.69526489,54.3429777,47.65086207,48.6938349,40.5032001,44.40057598,47.54375242
17,21.4898625,60.79708725,45.56606755,44.84489289,41.23334639,52.97283177,59.72711178,59.39589864,54.81391666,64.90657022,52.75668073,48.69710031,49.42528736,40.50548589,42.60464805,46.18074039
18,21.06319909,60.17078109,45.77905571,42.86278736,39.87591432,51.30420585,60.3654111,58.14263323,52.72208093,64.69526489,51.70015404,47.44644723,49.00731452,41.23661181,42.81461389,46.49454861
19,19.46711164,60.3781348,45.24383708,42.34130094,39.56341432,51.40771944,59.51547588,57.82817398,51.98799971,63.42776773,52.33440493,47.02945402,47.02194357,41.33947231,43.02792847,45.02770056
20,19.36061537,57.97936259,44.70690082,40.77553553,37.99699582,49.21662748,58.77203693,57.20317398,51.25457569,61.73397629,50.64396223,45.88166144,45.03657262,38.52240073,41.3358114,43.56249548
